URL,PrizeMoney,Rating,Gold,Silver,Bronze,TotalMatches,WinRate,BirthPlace
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D317,9466825,62,5,6,12,82,0.2804878048780488,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K160,240625,45,0,1,0,9,0.1111111111111111,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H324,1180725,54,3,0,0,22,0.1363636363636363,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H140,1584950,48,1,6,2,35,0.2571428571428571,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E293,4432725,29,8,6,8,99,0.2222222222222222,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G219,1661400,49,3,4,0,31,0.2258064516129032,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G183,5083425,52,5,13,14,84,0.3809523809523809,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2002_C015,6668150,27,9,4,7,90,0.2222222222222222,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2002_C238,6208550,53,7,9,4,81,0.2469135802469135,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G312,3264500,56,3,6,6,56,0.2678571428571428,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G037,2545625,80,4,2,3,27,0.3333333333333333,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J310,1871500,48,2,4,1,45,0.1555555555555555,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G212,4023650,58,6,5,7,84,0.2142857142857142,"南非"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H069,2988525,42,4,3,7,58,0.2413793103448276,"澳洲"
